epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.377512,0,7.5476,0,0,0,0,0,0,7.32435,0,0,0,0
2,0.755386,0,7.5389,0,0,0,0,0,0,7.32978,0,1.604e-05,1.604e-05,1.604e-05
3,1.04491,0,7.46451,0,0,0,0,0,0,7.33555,0,2.416e-05,2.416e-05,2.416e-05
4,1.33945,0,7.48739,0,0,0,0,0,0,7.34176,0,2.436e-05,2.436e-05,2.436e-05
5,1.63626,0,7.45362,0,0,0,0,0,0,7.34651,0,1.664e-05,1.664e-05,1.664e-05
